
  Data: Real and imaginary indices of refraction of H2O-ice, amorphous
  nitric acid solutions, and nitric acid hydrates.
  
  Reference: O. B. Toon, M. A. Tolbert, B. G. Koehler, A. M. Middlebrook,
  and J. Jordan, The infrared optical constants of H2O-ice, amorphous 
  acid solutions, and nitric acid hydrates, J. Geophys. Res., accepted
  for publication, 1994.

  Format: wavenumber(cm-1), real index,imaginary index
   110 lines, BETA NAT film  at 196 K
   133 lines, NAD film at 184 K
   112 lines, ALPHA NAT film at 181 k
   135 lines, NAM film at 179 K
   173 lines, water ice film at 163 K
   120 lines, A NAT film at 153 K
   113 lines, A NAD film at 153 K
   124 lines, A NAM film at 153 K
  2x,f6.1,2x,f5.3,2x,e8.2


  BETA NAT film at 196 K 
   110    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
  1485.0  1.340  6.46E-02
  1523.0  1.335  6.78E-02
  1562.0  1.329  6.89E-02
  1601.0  1.323  6.90E-02
  1639.0  1.314  6.65E-02
  1678.0  1.305  5.74E-02
  1716.0  1.303  4.47E-02
  1755.0  1.306  3.40E-02
  1793.0  1.311  2.69E-02
  1832.0  1.317  2.16E-02
  1871.0  1.322  1.73E-02
  1909.0  1.328  1.38E-02
  1948.0  1.335  1.17E-02
  1986.0  1.341  1.12E-02
  2025.0  1.348  1.20E-02
  2063.0  1.354  1.40E-02
  2102.0  1.358  1.72E-02
  2141.0  1.362  2.20E-02
  2179.0  1.363  2.78E-02
  2218.0  1.361  3.24E-02
  2241.0  1.358  3.33E-02
  2256.0  1.356  3.27E-02
  2295.0  1.354  2.88E-02
  2333.0  1.355  2.40E-02
  2372.0  1.358  2.02E-02
  2411.0  1.362  1.77E-02
  2449.0  1.366  1.56E-02
  2488.0  1.371  1.37E-02
  2526.0  1.376  1.21E-02
  2565.0  1.382  1.04E-02
  2603.0  1.388  8.65E-03
  2642.0  1.396  6.85E-03
  2681.0  1.406  5.56E-03
  2719.0  1.417  5.19E-03
  2758.0  1.429  5.52E-03
  2796.0  1.444  6.41E-03
  2835.0  1.461  8.34E-03
  2873.0  1.482  1.23E-02
  2912.0  1.508  1.92E-02
  2951.0  1.539  3.04E-02
  2989.0  1.578  4.76E-02
  3028.0  1.633  7.43E-02
  3066.0  1.712  1.31E-01
  3105.0  1.801  2.91E-01
  3120.0  1.809  4.06E-01
  3143.0  1.715  5.37E-01
  3182.0  1.579  6.27E-01
  3205.0  1.505  7.25E-01
  3228.0  1.318  8.50E-01
  3259.0  1.035  6.75E-01
  3267.0  1.010  6.22E-01
  3298.0   .981  4.69E-01
  3336.0   .980  3.73E-01
  3375.0   .955  3.04E-01
  3413.0   .924  2.05E-01
  3452.0   .964  9.80E-02
  3491.0  1.023  5.04E-02
  3529.0  1.066  2.80E-02
  3568.0  1.100  1.51E-02
  3606.0  1.127  7.49E-03
  3645.0  1.148  3.64E-03
  3683.0  1.166  1.68E-03
  3722.0  1.180  7.99E-04
  3761.0  1.191  4.04E-04
  3799.0  1.201  2.21E-04
  3815.0  1.204  2.17E-04
  3838.0  1.209  2.58E-04
  3876.0  1.216  3.19E-04
  3915.0  1.222  3.16E-04
  3953.0  1.227  3.16E-04
  3992.0  1.232  2.92E-04
  4030.0  1.236  3.65E-04
  4061.0  1.239  4.03E-04
  4069.0  1.240  3.96E-04
  4108.0  1.243  3.24E-04
  4146.0  1.246  2.16E-04
  4185.0  1.249  1.81E-04
  4223.0  1.252  2.28E-04
  4250.0  1.254  2.57E-04
  4281.0  1.256  2.00E-04
  4300.0  1.257  1.39E-04
  4312.0  1.257  1.00E-04
  4493.0  1.266  1.00E-04
  4648.0  1.272  1.00E-04
  4686.0  1.274  2.48E-04
  4725.0  1.275  5.23E-04
  4763.0  1.276  8.26E-04
  4802.0  1.277  1.09E-03
  4840.0  1.278  1.26E-03
  4879.0  1.278  1.37E-03
  4918.0  1.279  1.46E-03
  4956.0  1.280  1.51E-03
  4995.0  1.280  1.49E-03
  5033.0  1.281  1.38E-03
  5072.0  1.281  1.15E-03
  5110.0  1.282  8.73E-04
  5149.0  1.283  6.26E-04
  5188.0  1.283  4.38E-04
  5226.0  1.284  2.81E-04
  5265.0  1.285  1.69E-04
  5303.0  1.286  1.00E-04
  5496.0  1.289  1.00E-04
  5650.0  1.290  1.00E-04
  5689.0  1.291  1.05E-04
  5728.0  1.291  1.30E-04
  5766.0  1.292  1.45E-04
  5805.0  1.292  1.46E-04
  5843.0  1.293  1.27E-04
  5882.0  1.293  1.35E-04
  5920.0  1.293  1.61E-04
  5959.0  1.294  1.87E-04
  5998.0  1.294  2.23E-04
  6036.0  1.294  2.75E-04
  6075.0  1.295  3.13E-04
  6113.0  1.295  3.40E-04
  6152.0  1.295  3.47E-04
  6190.0  1.296  3.53E-04
  6229.0  1.296  3.88E-04
  6268.0  1.296  4.16E-04
  6306.0  1.296  4.26E-04
  6345.0  1.297  4.53E-04
  6383.0  1.297  4.94E-04
  6422.0  1.297  5.54E-04
  6460.0  1.297  5.78E-04
  6499.0  1.297  6.14E-04
  6538.0  1.298  6.40E-04
  6576.0  1.298  6.27E-04
  6615.0  1.298  6.46E-04
  6653.0  1.298  6.88E-04
  6692.0  1.298  6.96E-04
  6730.0  1.298  6.40E-04
  6769.0  1.298  5.42E-04
  6807.0  1.299  3.82E-04
  6846.0  1.299  2.64E-04
  6885.0  1.299  2.04E-04
  6923.0  1.299  1.71E-04
  6962.0  1.300  2.09E-04

  a-NAT film at 153 K 
   120    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
   482.0  1.867  1.85E-01
   490.0  1.807  1.94E-01
   521.0  1.786  2.15E-01
   559.0  1.772  2.37E-01
   598.0  1.756  2.48E-01
   621.0  1.760  2.59E-01
   636.0  1.749  2.77E-01
   675.0  1.725  2.93E-01
   694.0  1.705  3.12E-01
   714.0  1.678  3.02E-01
   752.0  1.652  2.91E-01
   791.0  1.640  2.80E-01
   798.0  1.646  2.75E-01
   810.0  1.652  3.00E-01
   822.0  1.613  3.16E-01
   829.0  1.593  2.95E-01
   868.0  1.599  2.49E-01
   906.0  1.608  2.31E-01
   926.0  1.618  2.27E-01
   945.0  1.626  2.34E-01
   957.0  1.622  2.38E-01
   972.0  1.619  2.30E-01
   984.0  1.626  2.24E-01
   999.0  1.640  2.25E-01
  1022.0  1.656  2.57E-01
  1038.0  1.626  2.83E-01
  1049.0  1.599  2.59E-01
  1061.0  1.614  2.31E-01
  1099.0  1.645  2.47E-01
  1138.0  1.657  2.63E-01
  1176.0  1.669  2.88E-01
  1215.0  1.686  3.24E-01
  1254.0  1.706  4.11E-01
  1269.0  1.692  4.74E-01
  1292.0  1.605  5.58E-01
  1300.0  1.557  5.78E-01
